start_time,crypto_code,e_roi,time_cost,ask,ask_q,ask_1,ask_1_q,bid_2,bid_2_q,roi_30,ask_30,ask_q_30,ask_1_30,ask_1_q_30,bid_2_30,bid_2_q_30,roi_100,ask_100,ask_q_100,ask_1_100,ask_1_q_100,bid_2_100,bid_2_q_100,roi_300,ask_300,ask_q_300,ask_1_300,ask_1_q_300,bid_2_300,bid_2_q_300
1626969636.3053243,SAND,1.0048906715911876,568.0468850135803,295.91,6.5444,0.0016649,1444.0,0.49507,855314.9,0.9996356025654478,295.99,10.7144,0.0016732,19376.0,0.49507,488115.5,1.004774771373204,295.98,7.9592,0.0016783,60.0,0.49513,1440.3,0.9965562457059418,296.11,1.6951,0.0016783,60.0,0.49525,908.8
1626969883.6178038,NMR,1.0133472306667826,246.58520913124084,297.75,1.5186,0.1044,4.39,31.5,318.882,0.9931630082763584,297.75,1.3007,0.1057,43.06,31.257,10.72,1.0062747635542253,297.72,12.5362,0.1057,43.06,31.277,8.9,0.9936582449176908,297.75,1.3007,0.1056,33.99,31.243,13.123
1626970604.5709543,SAND,1.0053683664618105,720.1718640327454,295.49,11.855,0.0016999,2669.0,0.505,344496.3,1.0031259530131074,295.49,24.4109,0.0017037,113.0,0.505,84378.1,1.002230967846655,295.47,7.7522,0.001709,3893.0,0.50339,1823.0,0.9989027062584958,295.45,1.2521,0.001709,1284.0,0.50437,4020.1
1626972629.620499,IOTA,1.0057562758810934,2024.343742609024,296.22,2.2819,0.002217,150.0,0.6605,225.96,0.997753553780781,296.22,2.2819,0.002227,38.4,0.6582,151.51,1.0022201872269734,296.23,2.4782,0.002227,38.4,0.6582,154.14,0.9974167058900534,296.23,2.3765,0.002227,38.4,0.658,122.39
1626972717.2272124,KEEP,1.0048670015457726,87.06267714500427,295.89,1.191,0.000824,6179.0,0.245,149994.0,0.9974367718276338,295.91,13.0,0.000825,6173.0,0.2435,19777.0,0.9990573754221386,295.91,13.0,0.000826,815.0,0.2436,6000.0,0.9970474793436882,295.91,13.0,0.000826,815.0,0.2437,680.0
1626974907.7115889,ALPHA,1.0050280115664365,2189.9218034744263,295.24,7.1749,0.0018684,33.0,0.5544,87.0,0.9969069425225016,295.24,6.8596,0.0018843,260.0,0.5546,1688.33,1.0057981535626737,295.28,23.44,0.0018842,814.0,0.5549,90.28,0.9994678179845776,295.28,4.0,0.0018843,260.0,0.5561,2911.34
1626975177.1647642,COCOS,1.004483277927411,268.8906590938568,295.13,8.4497,0.001889,4.1,0.56,9184.17,1.004483277927411,295.13,8.4497,0.001889,4.1,0.56,9184.17,1.0042450874482276,295.2,15.5507,0.001889,4.1,0.56,9184.17,1.0043471552485577,295.17,2.2231,0.001889,4.1,0.56,9184.17
1626975177.6334293,COCOS,1.0043471552485577,0.0,295.17,2.2231,0.001889,4.1,0.56,9184.17,1.0043471552485577,295.17,2.2231,0.001889,4.1,0.56,9184.17,1.0043471552485577,295.17,2.2231,0.001889,4.1,0.56,8998.98,1.0043471552485577,295.17,2.2231,0.001889,4.1,0.56,8941.22
1626975178.1021936,COCOS,1.0043471552485577,0.0,295.17,2.2231,0.001889,4.1,0.56,8941.22,1.0043471552485577,295.17,2.2231,0.001889,4.1,0.56,8941.22,1.0043471552485577,295.17,6.5,0.001889,4.1,0.56,8941.22,1.004313130343237,295.18,2.036,0.001889,4.1,0.56,8941.22
1626975178.5865953,COCOS,1.004313130343237,0.0,295.18,2.036,0.001889,4.1,0.56,8941.22,1.004313130343237,295.18,2.036,0.001889,4.1,0.56,8941.22,1.004313130343237,295.18,2.036,0.001889,4.1,0.56,8941.22,1.004313130343237,295.18,2.036,0.001889,4.1,0.56,8941.22
1626975179.055303,COCOS,1.004381182459401,0.0,295.16,6.5,0.001889,4.1,0.56,8941.22,1.004381182459401,295.16,6.5,0.001889,4.1,0.56,8941.22,1.004381182459401,295.16,6.5,0.001889,4.1,0.56,8941.22,1.0044492437985932,295.14,25.3349,0.001889,4.1,0.56,8941.22
1626975179.5553112,COCOS,1.0044492437985932,0.0,295.14,25.3349,0.001889,4.1,0.56,8941.22,1.0044492437985932,295.14,25.3349,0.001889,4.1,0.56,8941.22,1.0044492437985932,295.14,24.6573,0.001889,4.1,0.56,8941.22,1.0044492437985932,295.14,24.6573,0.001889,4.1,0.56,8941.22
1626975180.024069,COCOS,1.0044492437985932,0.0,295.14,5.7536,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,6.42,0.001889,4.1,0.56,8941.22,1.0044492437985932,295.14,6.5,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,6.42,0.001889,4.1,0.56,8941.22
1626975180.5085185,COCOS,1.0044152119760017,0.0,295.15,6.42,0.001889,4.1,0.56,8941.22,1.004313130343237,295.18,6.974,0.001889,4.1,0.56,8941.22,1.0042450874482276,295.2,38.2582,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,2.4051,0.001889,4.1,0.56,8941.22
1626975181.0251958,COCOS,1.0044152119760017,0.0,295.15,2.1782,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,18.9001,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,18.9001,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,18.9001,0.001889,4.1,0.56,8941.22
1626975181.593923,COCOS,1.0044152119760017,0.0,295.15,18.9001,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,18.9001,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,2.1782,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,2.1782,0.001889,4.1,0.56,8941.22
1626975182.1336577,COCOS,1.0044152119760017,0.0,295.15,1.8541,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,1.8089,0.001889,4.1,0.56,8941.22,1.0044152119760017,295.15,1.7579,0.001889,4.1,0.56,8941.22,1.0053120112724083,295.15,1.456,0.001889,4.1,0.5605,248.29
1626975182.6334436,COCOS,1.0053120112724083,0.0,295.15,1.413,0.001889,4.1,0.5605,248.29,1.0053120112724083,295.15,1.3598,0.001889,4.1,0.5605,248.29,1.0053120112724083,295.15,1.3598,0.001889,4.1,0.5605,248.29,1.0053120112724083,295.15,1.2816,0.001889,4.1,0.5605,248.29
1626975183.117785,COCOS,1.0053120112724083,0.0,295.15,1.1635,0.001889,4.1,0.5605,248.29,1.0053120112724083,295.15,1.1127,0.001889,4.1,0.5605,248.29,1.0053120112724083,295.15,6.1127,0.001889,4.1,0.5605,248.29,1.0053120112724083,295.15,5.7572,0.001889,4.1,0.5605,248.29
1626975183.6189003,COCOS,1.0053120112724083,0.0,295.15,4.9116,0.001889,4.1,0.5605,248.29,1.0053120112724083,295.15,4.9116,0.001889,4.1,0.5605,248.29,1.0053120112724083,295.15,4.8674,0.001889,4.1,0.5605,248.29,1.0053120112724083,295.15,4.571,0.001889,4.1,0.5605,248.29
1626975184.1334286,COCOS,1.0053460734805562,0.0,295.14,6.2544,0.001889,4.1,0.5605,248.29,1.0053460734805562,295.14,6.2115,0.001889,4.1,0.5605,248.29,1.0053460734805562,295.14,6.17,0.001889,4.1,0.5605,248.29,1.0053460734805562,295.14,5.8488,0.001889,4.1,0.5605,248.29
1626975184.617792,COCOS,1.005141734847735,0.0,295.2,47.9536,0.001889,4.1,0.5605,248.29,1.005141734847735,295.2,8.3636,0.001889,4.1,0.5605,248.29,1.005141734847735,295.2,4.3636,0.001889,4.1,0.5605,248.29,1.0050736404276517,295.22,0.4229,0.001889,4.1,0.5605,248.29
