start_time,crypto_code,e_roi,time_cost,ask,ask_q,ask_1,ask_1_q,bid_2,bid_2_q,roi_30,ask_30,ask_q_30,ask_1_30,ask_1_q_30,bid_2_30,bid_2_q_30,roi_100,ask_100,ask_q_100,ask_1_100,ask_1_q_100,bid_2_100,bid_2_q_100,roi_300,ask_300,ask_q_300,ask_1_300,ask_1_q_300,bid_2_300,bid_2_q_300
1621440037.066011,EZ,1.0138118033500028,0.0006930828094482423,0.073422,2.4,0.002128,4.72,0.0001584,2.68,1.0138256115493374,0.073421,1.069,0.002128,4.72,0.0001584,2.68,1.0138256115493374,0.073421,1.069,0.002128,4.72,0.0001584,2.68,1.0138256115493374,0.073421,0.059,0.002128,4.72,0.0001584,2.68
1621440037.505646,EZ,1.0138118033500028,0.001180887222290039,0.073422,2.4,0.002128,4.72,0.0001584,2.68,1.0138118033500028,0.073422,2.4,0.002128,4.72,0.0001584,2.68,1.0138118033500028,0.073422,1.493,0.002128,4.72,0.0001584,2.68,1.0138532290764504,0.07341900000000001,4.9,0.002128,4.72,0.0001584,2.68
1621440037.932304,EZ,1.0138532290764504,0.0004699230194091797,0.07341900000000001,4.881,0.002128,4.72,0.0001584,2.68,1.0138532290764504,0.07341900000000001,4.881,0.002128,4.72,0.0001584,2.68,1.0138532290764504,0.07341900000000001,4.881,0.002128,4.72,0.0001584,2.68,1.0136047254866607,0.073437,0.79,0.002128,4.72,0.0001584,2.68
1621440038.3678534,EZ,1.0136047254866607,0.0005159378051757811,0.073437,0.7070000000000001,0.002128,4.72,0.0001584,2.68,1.0135495190093258,0.07344099999999999,2.74,0.002128,4.72,0.0001584,2.68,1.0135495190093258,0.07344099999999999,2.74,0.002128,4.72,0.0001584,2.68,1.0136737420411253,0.07343200000000001,1.9969999999999999,0.002128,4.72,0.0001584,2.68
1621440038.8033762,EZ,1.0136737420411253,0.00048613548278808594,0.07343200000000001,1.192,0.002128,4.72,0.0001584,2.68,1.0136737420411253,0.07343200000000001,1.192,0.002128,4.72,0.0001584,2.68,1.0136737420411253,0.07343200000000001,1.192,0.002128,4.72,0.0001584,2.68,1.0136737420411253,0.07343200000000001,0.893,0.002128,4.72,0.0001584,2.68
1621440039.255436,EZ,1.0134115291223251,0.0011920928955078125,0.073451,0.146,0.002128,4.72,0.0001584,2.68,1.0134115291223251,0.073451,5.046,0.002128,4.72,0.0001584,2.68,1.0134115291223251,0.073451,5.046,0.002128,4.72,0.0001584,2.68,1.0134115291223251,0.073451,5.046,0.002128,4.72,0.0001584,2.68
1621440039.688745,EZ,1.0134115291223251,0.001249074935913086,0.073451,5.046,0.002128,4.72,0.0001584,2.68,1.0134115291223251,0.073451,5.046,0.002128,4.72,0.0001584,2.68,1.0134115291223251,0.073451,5.046,0.002128,4.72,0.0001584,2.68,1.0136185280456984,0.073436,0.662,0.002128,4.72,0.0001584,2.68
1621440040.128292,EZ,1.0136185280456984,0.0005359649658203125,0.073436,0.599,0.002128,4.72,0.0001584,2.68,1.0136185280456984,0.073436,0.536,0.002128,4.72,0.0001584,2.68,1.0136185280456984,0.073436,0.536,0.002128,4.72,0.0001584,2.68,1.0137013512946196,0.07343,4.301,0.002128,4.72,0.0001584,2.68
1621440040.571245,EZ,1.0137151564853657,0.00042510032653808594,0.073429,0.472,0.002128,4.72,0.0001584,2.68,1.0137013512946196,0.07343,4.301,0.002128,4.72,0.0001584,2.68,1.0137013512946196,0.07343,4.301,0.002128,4.72,0.0001584,2.68,1.0137151564853657,0.073429,1.022,0.002128,4.72,0.0001584,2.68
1621440041.024968,EZ,1.0137151564853657,0.0004351139068603516,0.073429,0.86,0.002128,4.72,0.0001584,2.68,1.0137151564853657,0.073429,0.86,0.002128,4.72,0.0001584,2.68,1.0137151564853657,0.073429,0.86,0.002128,4.72,0.0001584,2.68,1.0137151564853657,0.073429,0.799,0.002128,4.72,0.0001584,2.68
