start_time,crypto_code,e_roi,time_cost,ask,ask_q,ask_1,ask_1_q,bid_2,bid_2_q,roi_30,ask_30,ask_q_30,ask_1_30,ask_1_q_30,bid_2_30,bid_2_q_30,roi_100,ask_100,ask_q_100,ask_1_100,ask_1_q_100,bid_2_100,bid_2_q_100,roi_300,ask_300,ask_q_300,ask_1_300,ask_1_q_300,bid_2_300,bid_2_q_300
1621181124.9589398,CVC,1.0042006722567265,726.3014907836914,0.07573300000000001,0.215,0.00012439,419.0,9.46e-06,54.0,0.98889431872881,0.07575,215.743,0.00012602,219.0,9.44e-06,346.0,1.0011126412556943,0.075806,3.801,0.00012602,219.0,9.44e-06,368.0,0.9877338129947304,0.075839,0.203,0.00012602,219.0,9.44e-06,368.0
1621181244.271504,NAS,1.00442854616993,118.81529402732849,0.07574299999999999,4.7,0.00025499999999999996,558.64,1.9399999999999997e-05,28.43,0.9970657383223994,0.075738,2.565,0.0002569,37.5,1.9399999999999997e-05,28.43,1.004574438448067,0.07573200000000001,0.9790000000000001,0.0002569,37.5,1.9399999999999997e-05,28.43,0.9973159298070748,0.07571900000000001,4.7,0.0002569,37.5,1.9399999999999997e-05,28.43
1621182269.4925492,XVG,1.0063824971504376,1024.7894802093506,0.076266,0.128,1.355e-05,675428.0,1.04e-06,569461.0,0.9812370705344452,0.076286,0.123,1.376e-05,27399.0,1.03e-06,4974289.0,0.9964444347272299,0.076286,0.123,1.376e-05,27399.0,1.03e-06,4974289.0,0.9826653632135348,0.076286,0.123,1.374e-05,24897.0,1.03e-06,4974395.0
1621182791.9589288,LOOM,1.0053070422323087,522.0282719135283,0.075883,0.198,3.5e-05,275.0,2.67e-06,5125.0,0.9960691053650844,0.075883,4.586,3.506e-05,1.0,2.65e-06,14763.0,1.0013175230566538,0.0759,0.131,3.506e-05,1.0,2.66e-06,39.0,0.9996434279408648,0.075897,4.229,3.506e-05,1.0,2.66e-06,11794.0
1621183123.424056,AION,1.006561014495948,331.00519704818726,0.075615,0.064,0.000108,0.24,8.22e-06,8011.0,0.9903086886844488,0.07559500000000001,2.261,0.000109,39168.88,8.16e-06,500.0,1.0007163021952556,0.07559400000000001,0.8140000000000001,0.000109,39168.88,8.17e-06,4420.0,0.9915485354512584,0.075593,0.064,0.000109,39168.88,8.17e-06,4420.0
1621183148.948818,LOOM,1.006642034486655,25.06989097595215,0.075634,0.048,3.52e-05,65818.0,2.68e-06,7787.0,0.9991033610738512,0.075636,1.6540000000000001,3.52e-05,43729.0,2.66e-06,99322.0,0.9991165706112488,0.07563500000000001,0.09,3.52e-05,43729.0,2.66e-06,99322.0,0.9991165706112488,0.07563500000000001,0.09,3.52e-05,8160.0,2.66e-06,99322.0
1621183180.878269,LOOM,1.0063764232169827,31.447839975357056,0.075623,0.98,3.574e-05,1.0,2.72e-06,78295.0,0.9891876712885096,0.075623,0.98,3.596e-05,746.0,2.69e-06,2025.0,0.9953030060141388,0.07562100000000001,0.239,3.596e-05,746.0,2.69e-06,2080.0,0.9966344793693278,0.075616,0.057,3.596e-05,746.0,2.71e-06,629.0
1621183301.907288,ZEC,1.004535228176158,120.57418704032898,0.07568899999999999,2.5,0.07314,16.067,0.005561,88.959,0.9992877104646812,0.075686,2.492,0.07317,0.943,0.005534000000000001,4.8,1.0003188301736483,0.07568,2.5,0.0732,0.042,0.005536999999999999,0.324,0.9998599221340356,0.07568,0.983,0.0732,0.042,0.005539,0.324
1621183430.889558,FRONT,1.0055135537268989,128.53290104866028,0.07557,1.933,0.0005397,520.0,4.101e-05,115.2,0.9931838670322244,0.07557,1.933,0.0005463999999999999,50.0,4.101e-05,115.2,1.0055135537268989,0.07557,0.598,0.0005463999999999999,897.0,4.101e-05,115.2,0.9929058078489024,0.07560499999999999,0.805,0.0005462999999999999,1430.0,4.101e-05,115.2
1621183806.790115,LOOM,1.0197797148343493,375.41827988624567,0.075645,1.364,3.526e-05,5352.0,2.72e-06,129112.0,0.9966029031335686,0.075645,1.364,3.608e-05,748.0,2.72e-06,66952.0,1.0235424358294385,0.075644,0.113,3.614e-05,63.0,2.73e-06,64635.0,0.9858347908955282,0.075645,0.109,3.634e-05,686.0,2.71e-06,2728.0
