start_time,crypto_code,e_roi,time_cost,ask,ask_q,ask_1,ask_1_q,bid_2,bid_2_q,roi_30,ask_30,ask_q_30,ask_1_30,ask_1_q_30,bid_2_30,bid_2_q_30,roi_100,ask_100,ask_q_100,ask_1_100,ask_1_q_100,bid_2_100,bid_2_q_100,roi_300,ask_300,ask_q_300,ask_1_300,ask_1_q_300,bid_2_300,bid_2_q_300
1621699652.176226,XMR,1.0067043346264126,540.3100140094757,0.008228000000000001,64.22,0.784,41.746,0.006494,11.355,1.0067043346264126,0.008228000000000001,63.72,0.784,41.746,0.006494,11.355,0.9987982796424356,0.008228000000000001,1.94,0.784,41.746,0.006443000000000001,1.6019999999999999,0.9986769042286984,0.008229,0.07,0.784,41.746,0.006443000000000001,1.6019999999999999
1621699652.622993,BAT,1.004318407338709,4.792213439941406e-05,0.008229,8.6,0.002253,998.9,1.862e-05,840.0,1.004318407338709,0.008229,0.07,0.002253,998.9,1.862e-05,840.0,1.004318407338709,0.008229,0.07,0.002271,828.9,1.862e-05,840.0,0.995944083278693,0.008228000000000001,165.57,0.002271,828.9,1.861e-05,5063.0
1621699653.106892,NEO,1.0044870894872435,4.506111145019531e-05,0.008226,61.78,0.1704,187.46,0.001408,0.34,0.9974627042460741,0.008226,61.78,0.1716,108.58,0.001408,0.34,1.0044870894872435,0.008226,61.78,0.1717,136.78,0.001408,0.34,0.9967605988464052,0.008227,33.42,0.1717,136.78,0.001408,0.34
1621699653.5454679,XLM,1.0066348718053812,7.295608520507812e-05,0.008228000000000001,113.95,0.001281,250.0,1.061e-05,1715.0,1.0066348718053812,0.008228000000000001,104.11,0.001281,250.0,1.061e-05,1715.0,1.0066348718053812,0.008228000000000001,175.7,0.001281,250.0,1.061e-05,1715.0,1.006879616486102,0.008226,0.04,0.001281,250.0,1.061e-05,1805.0
1621699653.990985,XLM,1.006879616486102,7.700920104980469e-05,0.008226,0.04,0.001281,250.0,1.061e-05,1805.0,1.006879616486102,0.008226,0.04,0.001281,250.0,1.061e-05,1805.0,1.006879616486102,0.008226,0.04,0.001281,250.0,1.061e-05,1805.0,1.006879616486102,0.008226,0.04,0.001281,250.0,1.061e-05,1805.0
1621699654.4422061,XLM,1.006879616486102,0.00010395050048828124,0.008226,0.04,0.001281,250.0,1.061e-05,1805.0,1.006879616486102,0.008226,0.04,0.001281,250.0,1.061e-05,1805.0,1.006879616486102,0.008226,0.04,0.001281,250.0,1.061e-05,1805.0,1.0066348718053812,0.008228000000000001,6.65,0.001281,250.0,1.061e-05,18370.0
1621699654.930511,XLM,1.00626797779306,0.000102996826171875,0.008231,0.02,0.001281,250.0,1.061e-05,1805.0,1.00626797779306,0.008231,0.02,0.001281,250.0,1.061e-05,1805.0,1.00626797779306,0.008231,0.02,0.001281,250.0,1.061e-05,1805.0,0.9977006807685059,0.008231,0.41,0.001292,100.0,1.061e-05,1805.0
1621699655.4066179,POLS,1.0069436893491386,0.0006158351898193357,0.008232,10.69,0.006301,2000.0,5.223e-05,10.0,1.006699107447426,0.008234,0.38,0.006301,2000.0,5.223e-05,10.0,1.006699107447426,0.008234,0.38,0.006301,2000.0,5.223e-05,10.0,1.0065768610470076,0.008235,6.53,0.006301,2000.0,5.223e-05,10.0
1621699655.8734946,POLS,1.006454644332456,0.0008158683776855469,0.008236,0.07,0.006301,2000.0,5.223e-05,10.0,1.006454644332456,0.008236,0.07,0.006301,2000.0,5.223e-05,10.0,1.006454644332456,0.008236,0.07,0.006301,2000.0,5.223e-05,10.0,1.006454644332456,0.008236,0.07,0.006301,2000.0,5.223e-05,10.0
1621699656.315878,POLS,1.006454644332456,0.0007801055908203125,0.008236,0.07,0.006301,2000.0,5.223e-05,10.0,1.006454644332456,0.008236,0.07,0.006301,2000.0,5.223e-05,10.0,1.006454644332456,0.008236,0.07,0.006301,2000.0,5.223e-05,10.0,1.006454644332456,0.008236,0.07,0.006301,2000.0,5.223e-05,10.0
